ar,bn,en,es,fr,hi,ja,ko,pa,pt,ru,tr,uk,vi,zh
القابلة التقليدية,ঐতিহ্যবাহী মিডওয়াইফ (ধাত্রী),Traditional Midwife,Partero(a) Tradicional,Accoucheuse traditionnelle,पारंपरिक दाई,伝統的な助産師,전통 조산사,ਰਵਾਇਤੀ ਦਾਈ,Parteiro(a) Tradicional,Традиционная акушерка,Geleneksel Ebe,Традиційна акушерка,Nữ hộ sinh truyền thống,传统助产士
أخصائي الوخز بالإبر,অ্যাকুপাঙ্কচারিস্ট,Acupuncturist,Acupunturista,Acupuncteur,एक्यूपंक्चर,鍼灸師,침술사,ਐਕਿਉਪੰਕਚਰ ਮਾਹਿਰ,Acupunturista,Специалист по акупунктуре / Иглорефлексотерапевт,Akupunktur Uzmanı,Голкорефлексотерапевт,Bác sĩ châm cứu,针灸师
أخصائي الإدمان,আসক্তি বিশেষজ্ঞ,Addiction Specialist,Especialista en Adicciones,Spécialiste en toxicomanie,व्यसन विशेषज्ञ,依存症専門家,중독 전문가,ਨਸ਼ਾ ਛੁਡਾਊ ਮਾਹਿਰ,Especialista em Dependência Química,Специалист по лечению зависимостей / Нарколог,Bağımlılık Uzmanı,Нарколог,Chuyên gia điều trị nghiện,成瘾治疗专家
مدير الرعاية الصحية,স্বাস্থ্যসেবা প্রশাসক,Healthcare Administrator,Administrador(a) de Salud,Administrateur de la santé,स्वास्थ्य सेवा प्रशासक,医療管理者,보건의료 관리자,ਸਿਹਤ ਸੰਭਾਲ ਪ੍ਰਬੰਧਕ,Administrador(a) de Saúde,Администратор в сфере здравоохранения,Sağlık Yöneticisi,Адміністратор системи охорони здоров'я,Quản trị viên y tế,医疗保健管理员
وكيل لإدارة ADRi و CDR,ADRi এবং CDR ব্যবস্থাপনার এজেন্ট,Agent for ADRi and CDR Management,Agente de Gestión de ADRi y CDR,Agent pour la gestion ADRi et CDR,ADRi और CDR प्रबंधन के लिए एजेंट,ADRi・CDR管理担当者,ADRi 및 CDR 관리 담당자,ADRi ਅਤੇ CDR ਪ੍ਰਬੰਧਨ ਨੁਮਾਇੰਦਾ,Agente de Gestão de ADRi e CDR,Агент по управлению ADRi и CDR,ADRi ve CDR Yönetim Temsilcisi,Агент з управління ADRi та CDR,Đại lý quản lý ADRi và CDR,ADRi及CDR管理专员
وكيل لإرجاعات No_mie,No_mie রিটার্নস এজেন্ট,Agent for No_mie Returns,Agente de Devoluciones No_mie,Agent pour No_mie Returns,No_mie रिटर्न्स के लिए एजेंट,NO_MIE返品担当者,NO_MIE 반품 처리 담당자,NO_MIE ਵਾਪਸੀ ਨੁਮਾਇੰਦਾ,Agente de Retornos NO_MIE,Агент по обработке возвратов NO_MIE,NO_MIE İade Temsilcisi,Агент з обробки повернень No_mie,Đại lý xử lý từ chối NO_MIE,NO_MIE退货处理专员
وكيل لتدفق RC/RO,RC/RO ফ্লো এজেন্ট,Agent for RC/RO Flow,Agente de Flujo RC/RO,Agent pour flux RC/RO,आरसी/आरओ फ्लो के लिए एजेंट,RC/ROフロー担当者,RC/RO 흐름 관리 담당자,RC/RO ਪ੍ਰਵਾਹ ਨੁਮਾਇੰਦਾ,Agente de Fluxo RC/RO,Агент по управлению потоками RC/RO,RC/RO Akış Temsilcisi,Агент з управління потоками RC/RO,Đại lý luồng RC/RO,RC/RO流程专员
وكيل استقبال الطوارئ,জরুরী অভ্যর্থনা এজেন্ট,Emergency Reception Agent,Agente de Recepción de Emergencias,Agent d'accueil d'urgence,आपातकालीन स्वागत एजेंट,緊急受付担当,응급실 접수 담당자,ਐਮਰਜੈਂਸੀ ਰਿਸੈਪਸ਼ਨ ਕਰਮਚਾਰੀ,Agente de Recepção de Emergência,Сотрудник приёмного отделения,Acil Durum Kabul Görevlisi,Агент екстреного прийому,Nhân viên tiếp nhận khẩn cấp,急诊接待员
عامل تنظيف متخصص لغرفة العمليات,অপারেটিং রুম বিশেষায়িত ক্লিনিং এজেন্ট,Operating Room Specialized Cleaning Agent,Agente de Limpieza Especializado(a) en Quirófano,Agent de nettoyage spécialisé pour salle d'opération,ऑपरेटिंग रूम विशेष सफाई एजेंट,手術室専門クリーニング担当,수술실 전문 청소 담당자,ਆਪ੍ਰੇਸ਼ਨ ਥੀਏਟਰ ਸਫ਼ਾਈ ਮਾਹਿਰ,Agente de Limpeza Especializado(a) de Centro Cirúrgico,Специалист по уборке операционных,Ameliyathane Uzman Temizlik Personeli,Спеціалізований прибиральник операційної,Nhân viên vệ sinh chuyên biệt phòng mổ,手术室保洁专员
وكيل الفواتير الصحية,স্বাস্থ্য বিলিং এজেন্ট,Health Billing Agent,Agente de Facturación de Salud,Agent de facturation des soins de santé,स्वास्थ्य बिलिंग एजेंट,医療費請求担当,의료비 청구 담당자,ਸਿਹਤ ਬਿਲਿੰਗ ਕਰਮਚਾਰੀ,Agente de Faturamento Médico,Специалист по выставлению медицинских счетов,Sağlık Faturalandırma Temsilcisi,Агент з виставлення рахунків за медичні послуги,Nhân viên thanh toán y tế,医疗账单专员
